CustomerID,LookalikeID,SimilarityScore
C0001,C0137,0.9946783914308558
C0001,C0152,0.9827940742818394
C0001,C0056,0.89242933174492
C0002,C0029,0.9997559654899295
C0002,C0199,0.9993394141195143
C0002,C0010,0.9991766593329816
C0003,C0178,0.9999464557935163
C0003,C0131,0.999542980361576
C0003,C0112,0.9995407290455766
C0004,C0021,0.9999040987681097
C0004,C0075,0.999774841624924
C0004,C0108,0.9993231307760907
C0005,C0073,0.9999654817607089
C0005,C0144,0.9999521295590145
C0005,C0095,0.9999454074593355
C0006,C0079,0.999897607323788
C0006,C0117,0.9915263834309027
C0006,C0196,0.9552442495625106
C0007,C0085,0.9999753433223318
C0007,C0193,0.9993159097916284
C0007,C0120,0.9991642931439778
C0008,C0194,0.9992845018541044
C0008,C0179,0.9986215368319783
C0008,C0024,0.9978324022676027
C0009,C0077,0.9999351172600535
C0009,C0142,0.999659687253364
C0009,C0032,0.9991375049151778
C0010,C0029,0.999829076416722
C0010,C0025,0.9994899760205334
C0010,C0002,0.9991766593329816
C0011,C0183,0.9941963467670185
C0011,C0048,0.9941460182619011
C0011,C0016,0.9924854245852202
C0012,C0102,0.9964307164952031
C0012,C0145,0.9914741621769373
C0012,C0188,0.9899120972537454
C0013,C0045,0.999991412756378
C0013,C0153,0.9997469262883719
C0013,C0059,0.9997409495632597
C0014,C0015,0.9999528423583536
C0014,C0058,0.9999335998410093
C0014,C0151,0.9999045909385083
C0015,C0058,0.9999842826370013
C0015,C0014,0.9999528423583536
C0015,C0131,0.9999527848610987
C0016,C0048,0.999896118094628
C0016,C0183,0.9998892806640186
C0016,C0064,0.9975192522883694
C0017,C0162,0.9999320915355583
C0017,C0124,0.9996799120592634
C0017,C0090,0.9975028885992291
C0018,C0200,0.9999988956840415
C0018,C0170,0.9999641433316653
C0018,C0182,0.9999408074227237
C0019,C0172,0.9999800326538814
C0019,C0116,0.959964867932943
C0019,C0049,0.8867544369825691
C0020,C0110,0.9999945958902544
C0020,C0078,0.9999264479707743
C0020,C0080,0.9999001119625991
